priority,notebook,author,best_public_score,current_public_score,runtime,compute,inputs,observed_method,reproducibility_risk,decision
1,Official tracking-cellmot baseline,Royer Lab,NA,NA,NA,NA,competition data,"TemporalUNet3D; local maxima; pooled node features; cross-attention transformer; sparse edge supervision",low,"Vendor metric and reproduce architecture first"
2,Biohub Cell Tracking: Two Seeds Logit Blend,Pilkwang Kim,0.912,0.912,18m57s,GPU T4 x2,"competition; incumbent support pack; seed314159 detector; DeepCenter","blend two detection heatmaps with secondary weight about 0.475; extract one point set; run graph and ILP once; DeepCenter confirms marginal gap nodes",medium,"Primary public incumbent to reproduce after mono-seed baseline"
3,Clean Approach + Lightweight Local CV | No Hack,Yusuke Togashi,0.908,0.902,16m23s,GPU T4 x2,"competition; Biohub Tracking Support Pack; cellmot-baseline-artifacts","learned detector and tracker; lightweight local CV; support-pack integration",medium,"Inspect active path and compare with mono-seed incumbent"
4,Biohub E016 | Embryo-Aware Dual Seed,Steven,0.908,0.908,19m29s,GPU T4 x2,not exposed,"dual seed; embryo-aware calibration",medium,"Inspect only after two-seed reproduction; possible prefix-aware calibration reference"
5,BioHub Cell Tracking During Development,Sahil Deogade,0.884,0.042,5m29s,GPU T4 x2,"competition; Last Call Postprocess V1; Tracking Support Pack","3D U-Net; adaptive threshold; subvoxel refinement; mutual-kNN; division gating; ILP; density scaling; one-frame gap closing; short-track filtering",high,"Recover historical best version; use for component ablations rather than as incumbent"
6,Biohub Cell Tracking,navazsh fathi,0.900,0.900,15m43s,GPU T4 x2,3 inputs,"active path not exposed by indexed page",medium,"Inspect only if it reconstructs from raw images and documents artifact provenance"
7,Public experiment journal,dalloliogm,0.912,0.912,NA,mixed,"public notebooks; kernel logs; submission IDs","more than 100 ablations; documents patched metric; hidden rerun constraints; two-seed blend; node-count sweep; postprocessing effects",medium,"Use as empirical secondary evidence; verify competition rules and metric in official sources"
8,Dark-AGI-Biohub Cell Tracking Solution,Dark-AGI,0.952,0.950,6m04s,GPU T4 x2,"competition; Biohub Tracking Support Pack","copied notebook; score likely includes pre-patch metric period; provenance not fully audited",very high,"Do not use score as current architecture evidence; inspect only reusable biological postprocessing"
9,Biohub Modular Last Call-Turned,yoikoarmor,0.965,NA,8s,CPU or unspecified,not exposed,"runtime incompatible with full raw-volume inference; likely postprocess blend or precomputed predictions",very high,"Exclude until every input and active execution path is proven"
10,Biohub Pure GPU Clean-Room Baseline,De DQ,0.003,NA,5m55s,GPU or unspecified,"competition; Zarr offline wheels","clean-room environment and I/O baseline",low,"Useful only for Kaggle packaging and offline dependency checks"
